order_id,customer_id,customer_name,product_name,sku,category,quantity,unit_price,total_price,order_date,status
ORD-0049,C002,Metro Grocery Co.,28oz Rectangle,CR-928,Rectangle Containers,4974,0.081,402.89,2025-07-10,Processing
ORD-0050,C004,GreenLeaf Foods,16oz Rectangle,CR-815,Rectangle Containers,2116,0.311,658.08,2025-05-03,Cancelled
ORD-0051,C001,Fresh Farms Deli,24oz Round Baseball,CO-624-BAS,Specialty Containers,4881,0.304,1483.82,2025-03-25,Delivered
ORD-0052,C006,Harvest Table,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,2673,0.157,419.66,2025-09-25,Confirmed
ORD-0053,C007,QuickBite Kitchens,Deli Overcap Lid,DR-ORL,Lids,2690,0.468,1258.92,2025-11-04,Delivered
ORD-0054,C002,Metro Grocery Co.,8oz Deli,DR-508,Deli Containers,4712,0.498,2346.58,2026-04-15,Cancelled
ORD-0055,C002,Metro Grocery Co.,24oz Round,CO-624,Round Containers,2272,0.11,249.92,2025-08-07,Cancelled
ORD-0056,C006,Harvest Table,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,3127,0.178,556.61,2025-03-12,Confirmed
ORD-0057,C008,Northside Deli,28oz Rectangle,CR-928,Rectangle Containers,4433,0.054,239.38,2025-11-06,Cancelled
ORD-0058,C009,Pacific Foods Ltd.,12oz Rectangle,CR-811,Rectangle Containers,2266,0.102,231.13,2025-04-17,Confirmed
ORD-0059,C002,Metro Grocery Co.,24oz Round Soccer,CO-624-SOC,Specialty Containers,2408,0.322,775.38,2025-06-09,Shipped
ORD-0060,C006,Harvest Table,Deli Recessed Lid,DR-RL,Lids,4102,0.163,668.63,2025-09-28,Cancelled
ORD-0061,C001,Fresh Farms Deli,12oz Deli,DR-512,Deli Containers,461,0.052,23.97,2026-03-10,Shipped
ORD-0062,C003,Sunrise Catering,24oz Round Basketball,CO-624-BKT,Specialty Containers,3719,0.298,1108.26,2025-09-26,Confirmed
ORD-0063,C007,QuickBite Kitchens,24oz Round,CO-624,Round Containers,716,0.475,340.1,2025-01-10,Processing
ORD-0064,C003,Sunrise Catering,24oz Round,CO-624,Round Containers,4871,0.299,1456.43,2025-02-06,Shipped
ORD-0065,C007,QuickBite Kitchens,Deli Overcap Lid,DR-ORL,Lids,3087,0.455,1404.59,2025-02-12,Shipped
ORD-0066,C001,Fresh Farms Deli,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,2144,0.35,750.4,2026-01-02,Confirmed
ORD-0067,C006,Harvest Table,28oz Rectangle,CR-927,Rectangle Containers,1366,0.467,637.92,2026-02-21,Cancelled
ORD-0068,C004,GreenLeaf Foods,28oz Rectangle,CR-928,Rectangle Containers,3477,0.061,212.1,2025-06-16,Confirmed
ORD-0069,C006,Harvest Table,28oz Rectangle,CR-927,Rectangle Containers,2285,0.122,278.77,2026-02-26,Confirmed
ORD-0070,C002,Metro Grocery Co.,16oz Rectangle,CR-815,Rectangle Containers,1922,0.14,269.08,2025-02-09,Delivered
ORD-0071,C008,Northside Deli,16oz Deli,DR-516,Deli Containers,1926,0.061,117.49,2025-11-09,Confirmed
ORD-0072,C004,GreenLeaf Foods,16oz Rectangle,CR-815,Rectangle Containers,668,0.485,323.98,2025-12-03,Shipped
ORD-0073,C005,Urban Meal Prep,16oz Deli,DR-516,Deli Containers,4492,0.199,893.91,2026-06-06,Delivered
ORD-0074,C001,Fresh Farms Deli,12oz Deli,DR-512,Deli Containers,4856,0.483,2345.45,2025-09-25,Confirmed
ORD-0075,C005,Urban Meal Prep,8oz Deli,DR-508,Deli Containers,3659,0.206,753.75,2025-04-22,Cancelled
ORD-0076,C006,Harvest Table,16oz Rectangle,CR-815,Rectangle Containers,3255,0.455,1481.03,2026-06-08,Processing
ORD-0077,C004,GreenLeaf Foods,12oz Rectangle,CR-811,Rectangle Containers,113,0.284,32.09,2025-02-15,Delivered
ORD-0078,C009,Pacific Foods Ltd.,24oz Round Basketball,CO-624-BKT,Specialty Containers,3633,0.081,294.27,2025-07-21,Shipped
ORD-0079,C006,Harvest Table,24oz Round Baseball,CO-624-BAS,Specialty Containers,2560,0.278,711.68,2025-11-18,Processing
ORD-0080,C007,QuickBite Kitchens,16oz Deli,DR-516,Deli Containers,4641,0.107,496.59,2026-02-17,Shipped
ORD-0081,C007,QuickBite Kitchens,24oz Round Basketball,CO-624-BKT,Specialty Containers,4762,0.185,880.97,2026-01-24,Confirmed
ORD-0082,C009,Pacific Foods Ltd.,28oz Rectangle,CR-928,Rectangle Containers,2450,0.145,355.25,2025-01-01,Shipped
ORD-0083,C010,Central Market Group,24oz Round Baseball,CO-624-BAS,Specialty Containers,3719,0.249,926.03,2025-11-26,Delivered
ORD-0084,C004,GreenLeaf Foods,24oz Round,CO-624,Round Containers,794,0.178,141.33,2026-04-30,Confirmed
ORD-0085,C010,Central Market Group,16oz Deli,DR-516,Deli Containers,2642,0.151,398.94,2025-04-06,Confirmed
ORD-0086,C004,GreenLeaf Foods,Deli Overcap Lid,DR-ORL,Lids,2105,0.493,1037.77,2025-01-26,Processing
ORD-0087,C010,Central Market Group,28oz Rectangle,CR-928,Rectangle Containers,3495,0.449,1569.26,2025-03-16,Delivered
ORD-0088,C010,Central Market Group,Deli Recessed Lid,DR-RL,Lids,3373,0.16,539.68,2026-01-29,Delivered
ORD-0089,C001,Fresh Farms Deli,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,1892,0.129,244.07,2025-04-20,Delivered
ORD-0090,C009,Pacific Foods Ltd.,18oz Round,CO-518,Round Containers,2141,0.463,991.28,2025-02-21,Cancelled
ORD-0091,C002,Metro Grocery Co.,18oz Round,CO-518,Round Containers,4451,0.495,2203.24,2025-05-17,Delivered
ORD-0092,C010,Central Market Group,16oz Deli,DR-516,Deli Containers,4235,0.242,1024.87,2026-03-30,Cancelled
ORD-0093,C009,Pacific Foods Ltd.,18oz Round,CO-518,Round Containers,3786,0.167,632.26,2025-06-12,Delivered
ORD-0094,C004,GreenLeaf Foods,28oz Rectangle,CR-928,Rectangle Containers,4069,0.332,1350.91,2025-10-11,Cancelled
ORD-0095,C005,Urban Meal Prep,18oz Round,CO-518,Round Containers,2020,0.172,347.44,2025-03-21,Shipped
ORD-0096,C006,Harvest Table,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,1335,0.154,205.59,2025-03-24,Confirmed
ORD-0097,C003,Sunrise Catering,24oz Round Soccer,CO-624-SOC,Specialty Containers,3498,0.233,815.03,2025-08-08,Processing
ORD-0098,C009,Pacific Foods Ltd.,18oz Round,CO-518,Round Containers,1794,0.425,762.45,2026-03-02,Processing
ORD-0099,C007,QuickBite Kitchens,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,3216,0.265,852.24,2025-01-21,Cancelled
ORD-0100,C006,Harvest Table,12oz Rectangle,CR-811,Rectangle Containers,4509,0.386,1740.47,2026-02-04,Delivered
